"seq","cd","clst_num","clst_type"
93,"B26",1,"B"
92,"B2650HSD",2,"E"
91,"B2650HSDC",1,"B"
90,"B3350HSD",2,"E"
89,"B3350HSDC",1,"B"
88,"B3350SUHSD",3,"D"
87,"BX1870TV54-1",2,"E"
86,"BX1870V-1",2,"E"
85,"BX2370RV-1",2,"E"
84,"BX2370RV60-1",2,"E"
83,"BX2370TV60-1",2,"E"
82,"BX2370V-1",2,"E"
81,"BX25DLB-R-1",2,"E"
80,"BX25DLB-T-1",2,"E"
79,"BX2670RV-1",2,"E"
78,"BX2670RV60-1",2,"E"
77,"BX2670TV60-1",2,"E"
76,"F3990",1,"B"
75,"GR2120-2-54",2,"E"
74,"K008T4",1,"B"
73,"KX018-4R1",1,"B"
72,"KX040-4R1A",1,"B"
71,"KX080-4R3A",1,"B"
70,"KX71-3S4R1",1,"B"
69,"KX91R1AS2",1,"B"
68,"L3301DT",3,"D"
67,"L3301HST",3,"D"
66,"L3560HST",1,"B"
65,"L3560HSTC",1,"B"
64,"L3901DT",3,"D"
63,"L3901HST",3,"D"
62,"L4060HSTC",1,"B"
61,"L4701DT",3,"D"
60,"L4701HST",3,"D"
59,"L6060HSTC",1,"B"
58,"M135GXDTC-F",4,"C"
57,"M6060HD",1,"B"
56,"M6060HDC",1,"B"
55,"M7060HD",1,"B"
54,"M7060HD12",1,"B"
53,"M7060HDC",1,"B"
52,"M7060HDC12",1,"B"
51,"MX4800DT",3,"D"
50,"MX4800HST",3,"D"
49,"MX5200DT",3,"D"
48,"MX5200HST",3,"D"
47,"RTV-X1100CRL-A",4,"C"
46,"RTV-X1100CW-H",4,"C"
45,"RTV-X1100CWL-A",4,"C"
44,"RTV-X1100CWL-H",4,"C"
43,"RTV-X1100CWL-HS",4,"C"
42,"RTV-X1120DRL-AS",4,"C"
41,"RTV-X1120DWL-AS",4,"C"
40,"RTV-X1120DWL-HS",4,"C"
39,"RTV-X900G-A",4,"C"
38,"RTV-X900G-H",1,"B"
37,"RTV-X900R-A",4,"C"
36,"RTV-X900RL-A",4,"C"
35,"RTV-X900W-A",1,"B"
34,"RTV-X900W-H",1,"B"
33,"RTV-X900WL-A",4,"C"
32,"RTV-X900WL-H",4,"C"
31,"RTV1140CPX-H",4,"C"
30,"RTV400CI-A",4,"C"
29,"RTV400CI-H",4,"C"
28,"RTV400CIR-A",4,"C"
27,"RTV500-A",1,"B"
26,"RTV500-H",1,"B"
25,"RTV500R-A",4,"C"
24,"SVL75-2HWC",1,"B"
23,"SVL75-2W",1,"B"
22,"SVL90-2HC",4,"C"
21,"SVL90-2HFC",4,"C"
20,"T1880A2-42",2,"E"
19,"T2080A2-42",2,"E"
18,"T2380A2-48",2,"E"
17,"U17VR1",1,"B"
16,"Z121SKH-48",2,"E"
15,"Z122EBR-48",2,"E"
14,"Z125EBR-54",2,"E"
13,"Z125SKH-54",2,"E"
12,"Z723KH-48",5,"A"
11,"Z724KH-54",5,"A"
10,"Z725KH-60",5,"A"
9,"ZD221-54",5,"A"
8,"ZD323-60",5,"A"
7,"ZD326HL-72",2,"E"
6,"ZD326P-60",5,"A"
5,"ZD326S-60",5,"A"
4,"ZG222A-48",5,"A"
3,"ZG227A-54",5,"A"
2,"ZG227LA-60",5,"A"
1,"ZG327PA-60",5,"A"
